countrycode,country,year,gdppc,log_gdppc
DEU,Germany,1906,5024,8.52198170814804
DEU,Germany,1907,5172,8.55101473989175
DEU,Germany,1908,5187,8.5539107743514
DEU,Germany,1909,5220,8.56025268087669
DEU,Germany,1910,5337,8.58241897633394
DEU,Germany,1911,5432,8.60006266923853
DEU,Germany,1912,5617,8.63355299253243
DEU,Germany,1913,5815,8.66819606495277
DEU,Germany,1914,4876,8.49208049060116
DEU,Germany,1915,4621,8.43836641087027
DEU,Germany,1916,4678,8.45062594714412
DEU,Germany,1917,4705,8.45638105201948
DEU,Germany,1918,4755,8.46695197497949
DEU,Germany,1919,4122,8.3240937614504
DEU,Germany,1920,4457,8.40223117294656
DEU,Germany,1921,4906,8.49821422481844
DEU,Germany,1922,5310,8.57734711423598
DEU,Germany,1923,4383,8.38548870041881
DEU,Germany,1924,5099,8.53679972105516
DEU,Germany,1925,5630,8.63586472113374
DEU,Germany,1926,5746,8.65625923953924
DEU,Germany,1927,6282,8.74544368009859
DEU,Germany,1928,6519,8.78247626892454
DEU,Germany,1929,6457,8.77292009262647
DEU,Germany,1930,6333,8.75352933651643
DEU,Germany,1931,5821,8.66922734727174
DEU,Germany,1932,5359,8.58653266949485
DEU,Germany,1933,5668,8.64259160081057
DEU,Germany,1934,6150,8.72420736080056
DEU,Germany,1935,6567,8.78981238619097
DEU,Germany,1936,7095,8.86714558959414
DEU,Germany,1937,7468,8.91838250466161
DEU,Germany,1938,7960,8.98218427883843
DEU,Germany,1939,8617,9.06149227523977
DEU,Germany,1940,8612,9.06091185848425
DEU,Germany,1941,9103,9.11635930850529
DEU,Germany,1942,9149,9.12139986267954
DEU,Germany,1943,9389,9.14729407025855
DEU,Germany,1944,9698,9.1796749576653
DEU,Germany,1945,7195,8.88114161932147
DEU,Germany,1946,3534,8.17018565287964
DEU,Germany,1947,3883,8.26436332973167
DEU,Germany,1948,4517,8.4156033356546
DEU,Germany,1949,5231,8.56235774337061
DEU,Germany,1950,6186,8.73004395324502
DEU,Germany,1951,6704,8.81045964216192
DEU,Germany,1952,7257,8.88972179927814
DEU,Germany,1953,7818,8.9641840463529
DEU,Germany,1954,8364,9.03169206054852
DEU,Germany,1955,9240,9.13129716463573
DEU,Germany,1956,9846,9.19482056031815
DEU,Germany,1957,10348,9.24454854330592
DEU,Germany,1958,10739,9.28163725385822
DEU,Germany,1959,11440,9.34487126493379
DEU,Germany,1960,12282,9.41589005488934
DEU,Germany,1961,12675,9.44738682845938
DEU,Germany,1962,13106,9.48082541959944
DEU,Germany,1963,13367,9.50054426197147
DEU,Germany,1964,14062,9.55123140275911
DEU,Germany,1965,14642,9.59164939020659
DEU,Germany,1966,14964,9.61340259546804
DEU,Germany,1967,14979,9.61440449916872
DEU,Germany,1968,15723,9.66287988747028
DEU,Germany,1969,16641,9.71962480872334
DEU,Germany,1970,17277,9.75713141617478
DEU,Germany,1971,17657,9.7788875843028
DEU,Germany,1972,18301,9.81471098214528
DEU,Germany,1973,19074,9.85608143013886
DEU,Germany,1974,19228,9.86412282901385
DEU,Germany,1975,19193,9.86230090820588
DEU,Germany,1976,20218,9.914328575714
DEU,Germany,1977,20837,9.9444855315702
DEU,Germany,1978,21447,9.97334005443496
DEU,Germany,1979,22305,10.0125661475624
DEU,Germany,1980,22497,10.0211372459695
DEU,Germany,1981,22553,10.0236233737761
DEU,Germany,1982,22380,10.0159229818659
DEU,Germany,1983,22840,10.03626866377
DEU,Germany,1984,23564,10.0674754026416
DEU,Germany,1985,24133,10.0913354774556
DEU,Germany,1986,24657,10.1128161148166
DEU,Germany,1987,25027,10.1277105210699
DEU,Germany,1988,25759,10.156539359589
DEU,Germany,1989,26393,10.1808541024604
DEU,Germany,1990,25391,10.142150059508
DEU,Germany,1991,26769.9603,10.1950356535099
DEU,Germany,1992,27385.0556,10.2177527275243
DEU,Germany,1993,27250.7006,10.2128345098526
DEU,Germany,1994,28140.0559,10.2449493171625
DEU,Germany,1995,28868.9462,10.2705217704321
DEU,Germany,1996,29349.9828,10.2870472392254
DEU,Germany,1997,30186.9444,10.3151648052566
DEU,Germany,1998,31129.5844,10.3459139128808
DEU,Germany,1999,32087.604,10.3762250663117
